1,Introduction and General Guidelines . . . . . . . . .1
Format . . . . . . . .,. . . . . . . . . . . . . . . . . . . . . . . . .1
How To Interpret Fee Schedule,Data . . . . . . . . . .1
Postal ZIP Codes by,Region . . . . . . . . . . . . . . . . .2
Conversion Factors . . .,. . . . . . . . . . . . . . . . . . . .3
New CPT Codes . . .,. . . . . . . . . . . . . . . . . . . . . . .3
Changed Codes .,. . . . . . . . . . . . . . . . . . . . . . . . .3
Deleted CPT Codes,. . . . . . . . . . . . . . . . . . . . . . .4
General Ground Rules,. . . . . . . . . . . . . . . . . . . . .4
2,Evaluation and Management (E/M) . . . . . . . . .11
Evaluation and,Management Ground Rules . . .11
